"TIME","MATURITY","YLD_CURV","GEO","BONDS","Value","Flag and Footnotes"
"2005M05","Maturity: 10 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","3.40",""
"2005M06","Maturity: 2 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","2.06",""
"2005M06","Maturity: 3 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","2.22",""
"2005M06","Maturity: 4 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","2.41",""
"2005M06","Maturity: 5 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","2.59",""
"2005M06","Maturity: 6 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","2.76",""
"2005M06","Maturity: 7 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","2.90",""
"2005M06","Maturity: 8 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","3.03",""
"2005M06","Maturity: 9 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","3.14",""
"2005M06","Maturity: 10 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","3.24",""
"2005M07","Maturity: 2 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","2.16",""
"2005M07","Maturity: 3 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","2.31",""
"2005M07","Maturity: 4 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","2.48",""
"2005M07","Maturity: 5 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","2.65",""
